,id,station_name,station_line,area,rent_price,lease_price,pos_x,pos_y,지하철역명,rent,lease
55,345399e8-f111-48ba-9415-7a046cd3056c,쌍문,4호선,,3,4,37.648627,127.034709,쌍문,2.911,4.067
56,34839b7c-a607-4257-ae07-8f6020c74970,발산,5호선,,3,7,37.558598,126.837668,발산,3.375,6.853
57,3628ba2c-2f32-42b8-92f7-0363a0bb3274,마포구청,6호선,,4,8,37.563515,126.903343,마포구청,4.47,7.911
58,37231533-2d1c-4210-9db6-e7165a018026,건대입구,7호선,,4,7,37.540693,127.07023,건대입구,3.694,7.085
59,372b15c3-8f26-4f54-a78f-dd120875c28c,상봉,7호선,,5,9,37.596362,127.085032,상봉,4.529,8.675
60,38192cbd-738f-4d35-9c8f-cb3980b25579,합정,2호선,,4,5,37.549463,126.913739,합정,3.844,4.666
61,383baf5b-ed83-4066-b508-586011d6af2e,수락산,7호선,,2,4,37.67785,127.055315,수락산,2.135,3.681
62,384652f7-99ae-4ba4-a08f-05af3c32420b,광화문,5호선,,3,4,37.571026,126.976669,광화문,3.187,4.426
63,39857608-b162-43a7-bd8d-72ea00fd457c,방배,2호선,,3,6,37.481426,126.997596,방배,3.099,6.244
64,399eff57-18cc-4e67-bf87-aa48bae21164,광흥창,6호선,,3,5,37.547456,126.931993,광흥창,3.238,4.79
65,3ad44442-8058-4845-b85c-14a039811764,보문,6호선,,3,5,37.585286,127.019381,보문,3.056,4.596
66,3c554253-ce26-4cf6-8a01-5989ce307eb7,청담,7호선,,5,7,37.519365,127.05335,청담,4.879,6.718
67,3d1c8079-af6e-473c-9d92-bc98bc4b0c4a,장지,8호선,,3,3,37.478703,127.126191,장지,2.518,2.433
68,3e1cb263-21fb-413a-8f2a-cc454696ca49,녹번,3호선,,3,6,37.600927,126.935756,녹번,2.678,5.741
69,3e557698-324d-4405-98ab-483570455e1c,삼각지,6호선,,4,9,37.534777,126.97311,삼각지,3.71,8.533
70,3eb73a91-5c2c-463b-9dec-5eb99ab22174,봉화산,6호선,,3,4,37.617283,127.091401,봉화산,2.487,4.232
71,3ebd4ba1-d4ba-4093-b827-4f48b4a8b84c,독립문,3호선,,3,3,37.574571,126.957748,독립문,2.465,3.054
72,400139ce-ec82-4610-980a-1bba6e4ef2ce,아차산,5호선,,4,6,37.551691,127.089761,아차산,3.902,6.312
73,406717ff-1fcd-485c-80dc-fd516426b5e2,동대문역사문화공원,4호선,,4,9,37.565138,127.007896,동대문역사문화공원,3.803,8.75
