,호선명,지하철역명,pos_x,pos_y,단위면적 환산액(만원)_x,단위면적 환산액(만원)_y
426,5호선,양평,37.492832,127.491814,3.0,6.0
427,경의선,양평,37.492832,127.491814,3.0,6.0
429,7호선,어린이대공원,37.548014,127.074658,6.0,9.0
434,2호선,역삼,37.500622,127.036456,5.0,9.0
435,6호선,역촌,37.606021,126.922744,3.0,5.0
437,3호선,연신내,37.619001,126.921008,4.0,6.0
438,6호선,연신내,37.619001,126.921008,4.0,6.0
440,1호선,영등포,37.515504,126.907628,4.0,8.0
441,2호선,영등포구청,37.52497,126.895951,5.0,6.0
442,5호선,영등포구청,37.52497,126.895951,5.0,6.0
443,5호선,영등포시장,37.522669,126.905139,4.0,7.0
447,3호선,오금,37.502162,127.128111,4.0,6.0
448,5호선,오금,37.502162,127.128111,4.0,6.0
451,5호선,오목교,37.524496,126.875181,2.0,4.0
456,3호선,옥수,37.540685,127.017965,2.0,4.0
457,경의선,옥수,37.540685,127.017965,2.0,4.0
458,1호선,온수,37.492258,126.823388,2.0,3.0
459,7호선,온수,37.492258,126.823388,2.0,3.0
462,2호선,왕십리,37.561533,127.037732,4.0,8.0
463,5호선,왕십리,37.561533,127.037732,4.0,8.0
464,경의선,왕십리,37.561533,127.037732,4.0,8.0
465,분당선,왕십리,37.561533,127.037732,4.0,8.0
466,1호선,외대앞,37.596073,127.063549,4.0,9.0
469,7호선,용마산,37.573647,127.086727,4.0,5.0
471,1호선,용산,37.529849,126.964561,4.0,4.0
472,경의선,용산,37.529849,126.964561,4.0,4.0
473,5호선,우장산,37.548768,126.836318,3.0,5.0
482,1호선,월계,37.633212,127.058831,2.0,4.0
483,6호선,월곡,37.601948,127.041518,3.0,4.0
485,6호선,월드컵경기장,37.569532,126.899298,3.0,4.0
486,2호선,을지로3가,37.566295,126.99191,5.0,9.0
487,3호선,을지로3가,37.566295,126.99191,5.0,9.0
488,2호선,을지로4가,37.566941,126.998079,4.0,6.0
489,5호선,을지로4가,37.566941,126.998079,4.0,6.0
491,6호선,응암,37.598605,126.915577,3.0,4.0
496,2호선,이대,37.556733,126.946013,5.0,9.0
498,7호선,이수,37.486263,126.981989,4.0,6.0
499,4호선,이촌,37.522272,126.974345,1.0,2.0
